"name","latitude","longitude"
"Children's Museum of Houston - Chevron Maker Annex","29.722658","-95.385141"
"The Children's Museum of New Hampshire - Make It or Break It Club","43.19493","-70.872995"
"Children's Museum of Pittsburgh - MAKESHOP","40.452771","-80.006498"
"CNSE Children's Museum of Science and Technology - Maker Space","42.677008","-73.697878"
"Kentucky Museum of Art and Craft -MakerSpace","38.257524","-85.762142"
"Montreal Science Centre - Fabrik","45.504617","-73.551667"
"Museum of Science and Industry, Chicago - Fab Lab","41.790573","-87.583066"
"Newark Museum - Makerspace","40.743057","-74.171724"
"New York Hall Of Science - Maker Space","40.747951","-73.852402"
"Omaha Children's Museum - Makerspace","41.255142","-95.942906"
"Oregon Museum of Science & Industry - Innovation Station","45.50821","-122.665783"
"The Tech Museum of Innovation - Makerspace","37.331629","-121.890126"
"GEMS World Academy Switzerland","46.476383","6.419276"
"Harrisburg South Middle School  ImagineNation Station\n","43.426765","-96.705207"
"New Milford High School","40.942043","-74.021528"
"Ryan High School","33.211368","-97.076064"
"Stewart Middle Magnet School","27.960547","-82.471987"
"Xerocraft","32.22738","-110.97343"
"Chalmers Robotförening","57.686576","11.977029"
"Makers im Zigerschlitz","47.09874","9.0699"
"GEOLab","49.900391","10.351331"
"Mittelab","45.637639","13.787425"
"Pumping Station: One","41.945319","-87.706629"
"Confluent","46.285479","-119.276466"
"Hackerspace Nijmegen","51.837516","5.844691"
"Artisan's Asylum","42.381659","-71.10509"
"Cambridge Hackspace","42.381267","-71.102389"
"Basingstoke Makerspace","51.261436","-1.085443"
"~/tinycore.lab","40.096778","22.497806"
"Metalab","48.209372","16.356099"
"CCC Mainz","50.083121","8.229593"
"Haxko","50.434435","7.404546"
"Warsaw Hackerspace","52.24162","20.98489"
"HeatSync Labs","33.415353","-111.834485"
"Makers Local 256","34.744838","-86.579395"
"Helsinki Hacklab","60.22199","24.85189"
"HackerGarage","20.67158","-103.3721"
"Hackerspace Drenthe","52.659638","6.754659"
"Backspace","49.9019","10.8928"
"Backspace (Hackerspace Bamberg)","49.901888","10.892736"
"Hacksaar","49.2793","7.035725"
"MafraLab - Makers Community","38.942406","-9.333096"
"Swindon Makerspace","51.572077","-1.805075"
"CCC Freiburg","47.993194","7.840502"
"Technik.cafe","47.6155","7.66508"
"Bits'n'Bugs","49.6006","11.00191"
"ZAM","49.599972","11.002833"
"Netz39","52.11946","11.62941"
"Nobreakspace","53.86887","10.67124"
"Fab Lab Airedale","53.869006","-1.894119"
"Fife Hackspace","56.165324","-3.146168"
"Cedar Valley Makers","42.515662","-92.448437"
"VoidWarranties","51.209021","4.453325"
"Unallocated Space","39.09","-76.63"
"Space.bi","52.03693","8.569245"
"Hackerspace Bielefeld e.V.","52.03716","8.56899"
"MvtinaPwn","44.659646","10.894544"
"HackGyver","47.644646","6.843613"
"Lodis","55.616082","13.020704"
"GarageLab eV","51.227517","6.800166"
"Twin Cities Maker","44.955535","-93.226731"
"The Gamer Club Glasgow","55.864069","-4.261633"
"Programvareverkstedet","63.417023","10.406385"
"CCC Salzburg","47.794274","13.055834"
"Chaostreff Salzburg","47.794274","13.055834"
"Kuopio Hacklab","62.879487","27.632182"
"Tel Aviv Makers Intl.","32.05268","34.77244"
"Z-Labor","50.72315","12.47994"
"Technologia Incognita","52.34557","4.826465"
"Leigh Hackspace","53.493012","-2.49301"
"Lansing Makers Network","42.70382","-84.53762"
"Chaostreff Klaus","47.30488","9.64616"
"Tarlab","65.02556","25.4852"
"Brixel","50.950944","5.230583"
"RaumZeitLabor","49.50742","8.52065"
"UN-Hack-Bar","51.53787","7.67315"
"Makerspace Esslingen","48.733333","9.316667"
