0,name,brand,class_1,lab,city,county,country_code
855,ciclop,bq,other,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
856,innovis 15,brother,other,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
857,hx-1360,rabbit,vinyl_cutting,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
873,prusa i3,reprap,three_d_printer,Info@Leze,Lagardelle-sur-Lèze,,FR
874,ultimaker 2+,ultimaker,three_d_printer,Info@Leze,Lagardelle-sur-Lèze,,FR
875,cameo 3,silhouette,vinyl_cutting,Info@Leze,Lagardelle-sur-Lèze,,FR
876,redsail x900 100w lasercut,redsail,laser,Info@Leze,Lagardelle-sur-Lèze,,FR
877,innov'is m280d,brother,other,Info@Leze,Lagardelle-sur-Lèze,,FR
904,prusa i3,reprap,three_d_printer,ACoLab,Clermont-Ferrand,,FR
905,cnc routing,homemade cnc router,cnc_milling,ACoLab,Clermont-Ferrand,,FR
906,othermill,other machine co,precision_milling,ACoLab,Clermont-Ferrand,,FR
907,prusa i3,reprap,three_d_printer,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
908,shopbot gantry,"shopbot tools, inc",cnc_milling,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
909,speedy 100,trotec,laser,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
919,prusa i3,reprap,three_d_printer,DeVinci Fablab,Courbevoie,,FR
920,cr10s5,creality,three_d_printer,DeVinci Fablab,Courbevoie,,FR
921,raise 3d n2 plas,raise 3d,three_d_printer,DeVinci Fablab,Courbevoie,,FR
922,mini,original prusa,three_d_printer,DeVinci Fablab,Courbevoie,,FR
923,raise 3d n1,raise 3d,three_d_printer,DeVinci Fablab,Courbevoie,,FR
932,prusa i3,reprap,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
933,shopbot gantry,"shopbot tools, inc",cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
934,mdx-40a,roland,precision_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
935,ultimaker 3,ultimaker,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
936,form2,formlabs,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
937,camm-1 gs-24,roland,vinyl_cutting,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
938,cnc routing,homemade cnc router,cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
939,ultimaker 3 extended,ultimaker,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
940,legend mini 24,epilog laser,laser,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
941,ultimaker s5,ultimaker,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
942,shopbot desktop,"shopbot tools, inc",cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
943,kinect v2 3d scanner,microsoft,scanner,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
944,x-carve,inventables,cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
945,epilog fusion m2 40,epilog laser,laser,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
946,digital sublimation t-shirt heat press,powerpress,other,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
947,wd1 digital soldering station,weller,other,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
948,pocket nc 5 axis,pocket nc,precision_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
949,mayku formbox,mayku formbox,other,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
950,open qpcr,chai biotechnologies,other,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
993,prusa i3,reprap,three_d_printer,8 FabLab Drôme,Crest,Drôme,FR
994,up plus 2,ebpp3dp,three_d_printer,8 FabLab Drôme,Crest,Drôme,FR
995,witbox 2,bq,three_d_printer,8 FabLab Drôme,Crest,Drôme,FR
1042,prusa i3,reprap,three_d_printer,Fablab Descartes,Champs-sur-Marne,,FR
1043,ultimaker s5,ultimaker,three_d_printer,Fablab Descartes,Champs-sur-Marne,,FR
1044,ultimaker 2+ extended,ultimaker,three_d_printer,Fablab Descartes,Champs-sur-Marne,,FR
1045,shopbot buddy,"shopbot tools, inc",cnc_milling,Fablab Descartes,Champs-sur-Marne,,FR
1046,gx 500/300,roland,vinyl_cutting,Fablab Descartes,Champs-sur-Marne,,FR
1047,mark two,markforged,three_d_printer,Fablab Descartes,Champs-sur-Marne,,FR
1048,innovis n150,brother,other,Fablab Descartes,Champs-sur-Marne,,FR
1083,gx-24,roland,vinyl_cutting,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1084,cnc mill­ing mach­ine,cnc,cnc_milling,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1085,makerbot z18,makerbot industries,three_d_printer,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1086,ender-3,creality,three_d_printer,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1087,up plus 2,ebpp3dp,three_d_printer,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1088,"trotec laser engraving, cutting & marking machine",trotec,laser,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1089,up! mini,ebpp3dp,three_d_printer,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1090,legend helix 24,epilog laser,laser,Artilect FabLab Toulouse,Toulouse,Midi-Pyrénées,FR
1125,gx-24,roland,vinyl_cutting,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1126,replicator 2,makerbot industries,three_d_printer,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
1127,k40 laser engraver & cutter,unknown,laser,Pangloss Labs #1 - Ferney-Voltaire,Ferney-Voltaire,Ain,FR
