id,model,brand,type,sub_type_1,info,x_travel,y_travel,z_travel,working,approved,lab,qty,facility,latitude,longitude
50,Makerbot 3D printer,makerbot,3d_printer,fdm,None,None,None,None,TRUE,TRUE,7,2,Gearbox Pan African Network,-1.303673,36.838525
51,3D laser scanner ,None,3d_scanner,laser,None,None,None,None,TRUE,TRUE,7,1,Gearbox Pan African Network,-1.303673,36.838525
52,CNC plasma cutter,None,cnc,cutter,None,None,None,None,TRUE,TRUE,7,1,Gearbox Pan African Network,-1.303673,36.838525
53,CnC wood router,None,cnc,router,None,None,None,None,TRUE,TRUE,7,1,Gearbox Pan African Network,-1.303673,36.838525
54,Tormach pCNC 1100,tormach,cnc,milling,None,18in,11in,16.25in,TRUE,TRUE,7,1,Gearbox Pan African Network,-1.303673,36.838525
55,Laser Cutter,None,laser,cutter,None,None,None,None,TRUE,TRUE,8,1,Triple Dimension,6.672933,-1.54567
56,CNC Mill,None,cnc,milling,None,None,None,None,TRUE,TRUE,8,1,Triple Dimension,6.672933,-1.54567
57,3D printer,None,3d_printer,fdm,None,None,None,None,TRUE,TRUE,8,1,Triple Dimension,6.672933,-1.54567
58,150w Lasercutter,None,laser,cutter,None,None,None,None,TRUE,TRUE,9,1,Flat Rock Studio,-33.9253,18.4239
59,Bambu 3D rpinter,bambu,3d_printer,fdm,None,None,None,None,TRUE,TRUE,9,1,Flat Rock Studio,-33.9253,18.4239
60,Tiertime printer,tier time,3d_printer,None,None,None,None,None,TRUE,TRUE,9,3,Flat Rock Studio,-33.9253,18.4239
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
